Year,SP_500I_Value,Prct_Chnge_SP500I,Real_GDP_Per_Capita_th,Real_GDP,Real_GDP_Change,Prct_Chnge_GDP,Tax_Rev_b,Tax_Rev_Diff,Prct_Chnge_Tax_Rev,Money_In_Circ_b,Money_Printed_billions,Prct_Chnge_Printed,CPI,EFFR,Mortgage_Rate,US_house_units,MSPUS_th,Purch_Power
1968,803.3316666666665,2.4830939752785497,23887.5000,4795.387000000001,224.6780000000017,4.915604996949097,218623.0000,10046.0000,4.81644668,47.729083333333335,2.9708333333333314,6.637510030739202,34.78333333333334,5.659166666666668,NULL,NULL,24800.0000,72.87660039563579
1967,783.8675,6.097222598197094,22997.0000,4570.708999999999,122.0059999999994,2.742507198165378,208577.0000,22512.0000,12.09899766,44.758250000000004,2.2510833333333267,5.29577365385443,33.35833333333334,4.220000000000001,NULL,NULL,22750.0000,74.53002146717832
1966,738.8200000000002,-7.2503188131676115,22628.0000,4448.7029999999995,275.2792499999996,6.596005258272641,186065.0000,19043.0000,11.40149202,42.50716666666668,2.623166666666684,6.576989937485411,32.45833333333333,5.111666666666666,NULL,NULL,21500.0000,76.35967268264564
1965,796.5741666666667,6.799779671943584,21473.0000,4173.42375,254.6329999999998,6.4977442339833935,167022.0000,NULL,NULL,39.88399999999999,2.1773333333333227,5.774398868458253,31.50833333333333,4.074999999999999,NULL,NULL,20125.0000,78.9999331394377
1964,745.8575000000001,14.674533469144603,20417.5000,3918.79075,213.47299999999996,5.7612602859768325,NULL,NULL,NULL,37.70666666666667,2.210166666666666,6.226435470163727,31.016666666666666,3.4966666666666675,NULL,NULL,18925.0000,82.2577793493635
1963,650.4124999999999,11.897480892719647,19573.0000,3705.31775,154.63400000000001,4.3550485170637865,NULL,NULL,NULL,35.496500000000005,1.7290833333333353,5.120567410891663,30.625,3.1783333333333332,NULL,NULL,18050.0000,86.27611172932541
1962,581.2575,-8.11417144422898,19029.0000,3550.68375,204.9935000000005,6.127091412601637,NULL,NULL,NULL,33.76741666666667,1.2646666666666704,3.8909528168129537,30.249999999999996,2.7083333333333335,NULL,NULL,NULL,89.58340017126962
1961,632.5866666666667,18.594249201277947,18207.5000,3345.6902499999997,83.62924999999996,2.5636936280468037,NULL,NULL,NULL,32.50275,0.4472500000000039,1.3952363868914963,29.89166666666667,1.955,NULL,NULL,NULL,91.96657718705853
1960,533.4041666666667,-5.192256420890473,18047.2500,3262.0609999999997,81.84099999999944,2.5734383155882057,NULL,NULL,NULL,32.055499999999995,0.2634166666666573,0.8285605693240994,29.575000000000003,3.215833333333333,NULL,NULL,NULL,92.26185833944255
1959,562.6166666666667,22.35008426813576,17953.5000,3180.2200000000003,206.23775000000023,6.934733722771891,NULL,NULL,NULL,31.792083333333338,0.6159166666666671,1.9756010200099539,29.14999999999999,3.305,NULL,NULL,NULL,91.68949292931937
